sn,age,sex,cond,reptime,trial,repcond,imcat,imnum,loc,resp,corr,rt,imname
 2,25,1,2, 4,14,1,1,15,1,1,1,690.50,famous_male15.jpg
 2,25,1,2, 4,15,1,2,11,3,2,1,514.48,famous_female11.jpg
 2,25,1,2, 4,16,1,1, 7,3,1,1,578.48,famous_male07.jpg
 2,25,1,2, 4,17,1,2, 8,4,2,1,642.46,famous_female08.jpg
 2,25,1,2, 4,18,1,2,22,2,2,1,450.51,famous_female22.jpg
 2,25,1,2, 4,19,1,1,22,1,1,1,578.41,famous_male22.jpg
 2,25,1,2, 4,20,1,1, 5,2,1,1,594.42,famous_male05.jpg
 2,25,1,2, 4,21,1,1,24,3,1,1,570.40,famous_male24.jpg
 2,25,1,2, 4,22,1,1, 4,4,1,1,546.39,famous_male04.jpg
 2,25,1,2, 4,23,1,2,20,3,2,1,562.38,famous_female20.jpg
 2,25,1,2, 4,24,1,1,23,2,1,1,554.36,famous_male23.jpg
 2,25,1,2, 5, 1,1,2,14,2,2,1,623.04,famous_female14.jpg
 2,25,1,2, 5, 2,1,1, 4,4,1,1,599.03,famous_male04.jpg
 2,25,1,2, 5, 3,1,2,22,2,2,1,423.02,famous_female22.jpg
 2,25,1,2, 5, 4,1,1,11,2,1,1,535.00,famous_male11.jpg
 2,25,1,2, 5, 5,1,1,19,4,1,1,559.03,famous_male19.jpg
 2,25,1,2, 5, 6,1,2,11,3,2,1,518.98,famous_female11.jpg
 2,25,1,2, 5, 7,1,2,13,1,2,1,558.95,famous_female13.jpg
 2,25,1,2, 5, 8,1,1, 9,1,1,1,502.95,famous_male09.jpg
 2,25,1,2, 5, 9,1,2,24,1,2,1,534.93,famous_female24.jpg
 2,25,1,2, 5,10,1,1, 5,2,1,1,558.92,famous_male05.jpg
 2,25,1,2, 5,11,1,1,24,3,1,1,550.92,famous_male24.jpg
 2,25,1,2, 5,12,1,2, 3,4,2,1,494.90,famous_female03.jpg
 2,25,1,2, 5,13,1,2, 8,4,2,1,542.87,famous_female08.jpg
 2,25,1,2, 5,14,1,2, 6,4,2,1,550.51,famous_female06.jpg
 2,25,1,2, 5,15,1,1,15,1,1,1,686.85,famous_male15.jpg
 2,25,1,2, 5,16,1,1, 7,3,1,1,582.84,famous_male07.jpg
 2,25,1,2, 5,17,1,2, 5,3,2,1,558.83,famous_female05.jpg
 2,25,1,2, 5,18,1,2,20,3,2,1,558.89,famous_female20.jpg
 2,25,1,2, 5,19,1,2,21,1,2,1,629.96,famous_female21.jpg
 2,25,1,2, 5,20,1,1,18,4,1,1,502.78,famous_male18.jpg
 2,25,1,2, 5,21,1,2,18,2,2,1,582.76,famous_female18.jpg
 2,25,1,2, 5,22,1,1,16,3,1,1,750.75,famous_male16.jpg
 2,25,1,2, 5,23,1,1,23,2,1,1,518.74,famous_male23.jpg
 2,25,1,2, 5,24,1,1,22,1,1,1,438.73,famous_male22.jpg
 2,25,1,2, 6, 1,1,1,23,2,1,1,517.79,famous_male23.jpg
 2,25,1,2, 6, 2,1,2, 3,4,2,1,501.72,famous_female03.jpg
 2,25,1,2, 6, 3,1,1,19,4,1,1,549.71,famous_male19.jpg
 2,25,1,2, 6, 4,1,1, 9,1,1,1,645.70,famous_male09.jpg
 2,25,1,2, 6, 5,1,2,21,1,2,1,597.69,famous_female21.jpg
 2,25,1,2, 6, 6,1,2,22,2,2,1,957.67,famous_female22.jpg
 2,25,1,2, 6, 7,1,2,13,1,2,1,613.65,famous_female13.jpg
 2,25,1,2, 6, 8,1,2, 8,4,2,1,621.64,famous_female08.jpg
 2,25,1,2, 6, 9,1,2,11,3,2,1,661.64,famous_female11.jpg
 2,25,1,2, 6,10,1,1,11,2,1,1,581.60,famous_male11.jpg
 2,25,1,2, 6,11,1,2, 5,3,2,1,445.61,famous_female05.jpg
 2,25,1,2, 6,12,1,2,24,1,2,1,501.57,famous_female24.jpg
 2,25,1,2, 6,13,1,2,18,2,2,1,501.57,famous_female18.jpg
 2,25,1,2, 6,14,1,1, 7,3,1,1,541.56,famous_male07.jpg
 2,25,1,2, 6,15,1,1,16,3,1,1,421.55,famous_male16.jpg
 2,25,1,2, 6,16,1,1,18,4,1,1,365.53,famous_male18.jpg
 2,25,1,2, 6,17,1,1, 4,4,1,1,373.53,famous_male04.jpg
 2,25,1,2, 6,18,1,1,15,1,1,1,397.51,famous_male15.jpg
 2,25,1,2, 6,19,1,2,20,3,2,1,517.50,famous_female20.jpg
 2,25,1,2, 6,20,1,2,14,2,2,1,565.48,famous_female14.jpg
 2,25,1,2, 6,21,1,1,24,3,1,1,557.45,famous_male24.jpg
 2,25,1,2, 6,22,1,1, 5,2,1,1,357.46,famous_male05.jpg
 2,25,1,2, 6,23,1,1,22,1,1,1,469.46,famous_male22.jpg
 2,25,1,2, 6,24,1,2, 6,4,2,1,541.43,famous_female06.jpg
 2,25,1,2, 7, 1,1,1,18,4,1,1,444.76,famous_male18.jpg
 2,25,1,2, 7, 2,1,2,24,1,2,1,436.68,famous_female24.jpg
 2,25,1,2, 7, 3,1,1,11,2,1,1,492.66,famous_male11.jpg
 2,25,1,2, 7, 4,1,1, 5,2,1,1,396.65,famous_male05.jpg
 2,25,1,2, 7, 5,1,1, 7,3,1,1,548.63,famous_male07.jpg
 2,25,1,2, 7, 6,1,1,24,3,1,1,468.59,famous_male24.jpg
 2,25,1,2, 7, 7,1,1,22,1,1,1,684.52,famous_male22.jpg
 2,25,1,2, 7, 8,1,2, 8,4,2,1,636.60,famous_female08.jpg
 2,25,1,2, 7, 9,1,2, 3,4,2,1,548.58,famous_female03.jpg
 2,25,1,2, 7,10,1,2,22,2,2,1,508.19,famous_female22.jpg
 2,25,1,2, 7,11,1,2,13,1,2,1,636.57,famous_female13.jpg
 2,25,1,2, 7,12,1,1,23,2,1,1,588.55,famous_male23.jpg
 2,25,1,2, 7,13,1,1,16,3,1,1,580.54,famous_male16.jpg
 2,25,1,2, 7,14,1,1,15,1,1,1,564.50,famous_male15.jpg
 2,25,1,2, 7,15,1,2,14,2,2,1,588.51,famous_female14.jpg
