SID,Trial,Familiarity,Repetition,AscLoc,SrcResp,Corr,RT,Confident,ImgName
5,12,2,2,3,1,0,3892.85,1,nonwex3.png
5,13,1,1,1,2,0,3603.73,4,wordin2_12.png
5,14,2,1,1,3,0,3559.4,2,nonwin4.png
5,15,2,2,3,3,1,2776.4,2,nonwin5.png
5,16,1,1,4,1,0,1616.9,3,wordex9.png
5,17,2,2,1,1,1,2019.89,1,nonwex10.png
5,18,2,2,3,1,0,5273.06,2,nonwin6.png
5,19,1,1,1,1,1,1825.25,4,wordin9.png
5,20,1,1,3,3,1,1885.21,4,wordex2_5.png
5,21,2,2,2,4,0,5802.17,2,nonwin2_2.png
5,22,1,1,1,1,1,1493.06,1,wordin2_10.png
5,23,2,1,4,1,0,1717.51,1,nonwex4.png
5,24,1,2,2,2,1,10491.15,2,wordin6.png
5,25,1,1,4,1,0,2968.02,3,wordin11.png
5,26,1,1,4,3,0,2341.2,3,wordex2_9.png
5,27,2,2,4,3,0,1614.8,3,nonwex2_6.png
5,28,2,2,2,1,0,1295.97,1,nonwex5.png
5,29,2,2,4,2,0,2239.79,2,nonwin2_12.png
5,30,1,1,3,3,1,4060.24,4,wordex2_4.png
5,31,1,1,4,4,1,5520.01,4,wordin2_2.png
5,32,1,2,3,1,0,11364.47,3,wordex2_1.png
5,33,2,2,4,4,1,4580.65,2,nonwin2_3.png
5,34,2,1,3,4,0,1685.69,2,nonwin2_9.png
5,35,2,2,4,2,0,2443.1,2,nonwex2_11.png
5,36,2,1,1,1,1,1516.94,1,nonwin7.png
5,37,1,2,1,1,1,1029.03,4,wordin2_4.png
5,38,2,1,3,1,0,2989.05,3,nonwex2_7.png
5,39,2,2,3,4,0,2737.42,2,nonwex2_5.png
5,40,2,2,2,1,0,6640.81,1,nonwex2_8.png
5,41,2,2,4,4,1,5560.06,4,nonwin2_4.png
5,42,1,2,4,4,1,4404.76,4,wordin12.png
5,43,2,2,1,1,1,6609.44,1,nonwin2_8.png
5,44,2,2,2,2,1,1599.59,4,nonwin10.png
5,45,1,2,2,3,0,6213.14,1,wordex10.png
5,46,1,2,4,3,0,2668.57,1,wordex2_10.png
5,47,1,1,3,4,0,6439.62,3,wordin1.png
5,48,1,1,3,1,0,2626.35,1,wordin2.png
5,49,2,1,1,1,1,6130.98,1,nonwex1.png
5,50,1,1,1,1,1,1364.45,1,wordin7.png
5,51,2,1,1,3,0,9901.02,3,nonwex2_10.png
5,52,2,1,3,1,0,1609.6,1,nonwin8.png
5,53,2,2,1,1,1,3321.1,1,nonwex2_1.png
5,54,1,2,3,3,1,4346.62,3,wordin8.png
5,55,1,2,3,1,0,1127.92,1,wordex8.png
5,56,1,1,1,1,1,5179.23,2,wordex1.png
5,57,1,2,1,1,1,1807.92,4,wordin2_1.png
5,58,1,2,1,1,1,1040.52,4,wordin2_9.png
5,59,2,1,2,3,0,7723.3,2,nonwin1.png
5,60,1,2,3,1,0,3065.5,4,wordin4.png
5,61,1,2,2,1,0,6519.37,1,wordex6.png
5,62,2,1,4,1,0,1221.27,1,nonwin2_5.png
5,63,2,1,2,2,1,2713.93,3,nonwin2_10.png
5,64,2,1,3,3,1,6222.87,1,nonwex9.png
