SID,Block,Trial,RepTime,Resp,Corr,RT,ImgName
1,2,26,1,1,1,620.72,capture002 copy.jpg
1,2,27,1,2,0,778.59,unfammale14.jpg
1,2,28,2,3,0,1024.53,capture002 copy.jpg
1,2,29,2,2,1,966.41,unfamfemale10.jpg
1,2,30,2,2,1,788.36,unfamfemale04.jpg
1,2,31,1,2,0,858.27,unfamfemale05.jpg
1,2,32,2,3,0,776.18,unfamfemale17.jpg
1,2,33,1,3,0,1054.06,unfammale09.jpg
1,2,34,1,2,0,587.96,unfamfemale06.jpg
1,2,35,2,2,1,817.89,unfammale02.jpg
1,2,36,1,2,0,711.83,unfammale25.jpg
1,2,37,3,3,1,645.71,capture002 copy.jpg
1,2,38,1,2,0,795.66,capture010 copy.jpg
1,2,39,1,1,1,753.57,unfammale18.jpg
1,2,40,2,1,0,519.46,unfammale25.jpg
1,2,41,1,2,0,733.33,unfamfemale01.jpg
1,2,42,2,2,1,859.27,unfamfemale37.jpg
1,2,43,1,1,1,785.17,unfammale39.jpg
1,2,44,2,3,0,735.08,unfammale12.jpg
1,2,45,1,1,1,805.04,unfammale28.jpg
1,2,46,2,2,1,714.93,unfamfemale39.jpg
1,2,47,2,2,1,712.86,unfammale28.jpg
1,2,48,2,2,1,878.76,unfammale21.jpg
1,2,49,1,1,1,644.66,unfammale33.jpg
1,2,50,2,3,0,930.56,unfammale09.jpg
