SID,Trial,Repetition,AscLoc,ScrResp,Corr,RT,Confident,ImgName
6,42,2,2,3,0,2206.87,2,nonwex11.png
6,43,2,1,2,0,1890.54,1,nonwin8.png
6,44,2,3,4,0,665.14,2,nonwex1.png
6,45,1,2,2,1,714,2,nonwin2_12.png
6,46,1,1,4,0,1275.61,2,nonwin4.png
6,47,2,4,4,1,1378.82,1,nonwex2_4.png
6,48,2,2,3,0,2026.87,3,nonwin7.png
7,1,1,4,2,0,3537.16,2,nonwex2_2.png
7,2,2,1,1,1,1558.37,2,nonwin2.png
7,3,2,4,4,1,2160.05,4,nonwin11.png
7,4,2,1,1,1,996.26,3,nonwex7.png
7,5,2,3,3,1,1887.73,4,nonwex2_11.png
7,6,1,4,2,0,1350.73,2,nonwin3.png
7,7,1,1,3,0,2186.51,4,nonwin2_3.png
7,8,2,3,3,1,1286.63,4,nonwex2_12.png
7,9,2,2,2,1,2703.62,3,nonwex2.png
7,10,2,4,4,1,1291.94,4,nonwin6.png
7,11,1,1,1,1,2426.3,4,nonwin7.png
7,12,1,3,3,1,3009.21,1,nonwin2_2.png
7,13,1,3,3,1,1200.27,2,nonwin2_5.png
7,14,1,4,2,0,1596.25,2,nonwex2_6.png
7,15,2,3,4,0,9411.68,2,nonwex2_5.png
7,16,1,2,2,1,1605.63,3,nonwin2_9.png
7,17,1,2,4,0,2316.16,4,nonwin2_1.png
7,18,2,4,4,1,1362.91,4,nonwex3.png
7,19,1,3,1,0,1529.49,2,nonwin2_8.png
7,20,2,3,3,1,1445.31,3,nonwex5.png
7,21,1,1,4,0,1825.04,1,nonwex4.png
7,22,2,2,2,1,882.16,4,nonwin9.png
7,23,2,4,4,1,981.71,4,nonwin2_11.png
7,24,1,4,2,0,1886.68,2,nonwin2_4.png
7,25,2,2,2,1,1541.22,4,nonwex2_3.png
7,26,1,2,4,0,1697.03,1,nonwex6.png
7,27,2,3,3,1,1311.88,4,nonwin2_7.png
7,28,1,4,2,0,2667.39,2,nonwex2_10.png
7,29,1,1,1,1,2128.05,2,nonwex12.png
7,30,1,4,4,1,1838.98,3,nonwex2_7.png
7,31,1,3,3,1,1043.03,3,nonwin5.png
7,32,2,1,4,0,1993.21,2,nonwex2_8.png
7,33,2,3,3,1,944.04,4,nonwex10.png
7,34,2,1,1,1,1790.66,3,nonwin4.png
7,35,1,2,3,0,861.45,2,nonwin12.png
7,36,2,1,1,1,1726.37,1,nonwex2_9.png
7,37,1,2,2,1,2127.53,1,nonwex1.png
7,38,1,3,2,0,6915.82,2,nonwin10.png
7,39,1,1,4,0,1935.2,2,nonwex11.png
7,40,2,2,2,1,1867.38,2,nonwin2_12.png
7,41,2,2,3,0,4591.5,1,nonwin1.png
7,42,2,4,2,0,6588.67,2,nonwex9.png
7,43,2,4,4,1,2679.83,2,nonwex2_1.png
7,44,1,1,1,1,1438.86,2,nonwin2_10.png
7,45,2,1,1,1,1512.17,3,nonwin2_6.png
7,46,1,3,3,1,3267.76,4,nonwin8.png
7,47,2,2,3,0,3357.83,2,nonwex8.png
7,48,1,2,1,0,3749.07,3,nonwex2_4.png
8,1,1,4,2,0,14140.29,3,nonwin2_5.png
8,2,1,1,1,1,2379.69,4,nonwex9.png
8,3,2,1,1,1,15349.65,2,nonwin2_4.png
8,4,1,2,2,1,1647.4,4,nonwin9.png
8,5,1,4,1,0,5443.28,4,nonwex2_12.png
8,6,1,1,1,1,2606.04,4,nonwin2_9.png
8,7,1,2,3,0,2797.18,2,nonwin10.png
8,8,2,4,1,0,2703.11,4,nonwex2.png
8,9,1,1,4,0,8622.17,3,nonwex2_2.png
8,10,2,2,2,1,1248.01,2,nonwex6.png
8,11,1,2,2,1,3425.29,4,nonwin2_3.png
8,12,2,3,3,1,2429.95,4,nonwin1.png
8,13,1,1,1,1,3453.01,3,nonwex2_3.png
8,14,2,4,3,0,2588.7,1,nonwin7.png
8,15,1,3,3,1,1494.43,4,nonwex5.png
8,16,1,1,1,1,1586.32,4,nonwex7.png
8,17,2,3,3,1,1862.16,4,nonwin2_11.png
8,18,2,1,1,1,1004.77,4,nonwex3.png
8,19,2,2,2,1,5376.4,4,nonwex2_5.png
8,20,2,1,1,1,2288.36,4,nonwex2_6.png
8,21,2,3,3,1,999.21,4,nonwex4.png
8,22,2,4,4,1,4128.18,4,nonwin2_1.png
8,23,1,4,4,1,980.99,4,nonwin11.png
8,24,2,1,1,1,6259.34,4,nonwex8.png
8,25,1,4,2,0,6798.46,1,nonwex1.png
8,26,1,2,2,1,2615.2,4,nonwex12.png
8,27,1,3,4,0,2574.1,2,nonwin5.png
8,28,1,4,3,0,1333.08,2,nonwin2_6.png
8,29,1,2,1,0,2334.51,4,nonwin2_12.png
8,30,2,2,2,1,1144.01,4,nonwin6.png
8,31,2,1,3,0,1827.72,3,nonwex2_8.png
8,32,2,4,4,1,5136.09,2,nonwin2.png
8,33,2,4,4,1,1080.08,4,nonwin2_2.png
8,34,2,3,3,1,7417.02,4,nonwin8.png
8,35,2,4,4,1,2639.43,4,nonwex2_9.png
8,36,2,2,2,1,1374.33,4,nonwin12.png
8,37,1,3,3,1,5615.43,1,nonwin2_10.png
8,38,2,1,1,1,1005.05,4,nonwex2_7.png
8,39,2,2,2,1,4653.88,4,nonwin2_8.png
8,40,2,2,2,1,912.34,4,nonwex2_11.png
8,41,1,2,4,0,1958.66,3,nonwex2_1.png
8,42,1,4,4,1,1007.77,4,nonwex2_4.png
8,43,1,3,3,1,2016.73,4,nonwex10.png
8,44,2,3,4,0,3548.94,3,nonwin2_7.png
8,45,1,1,1,1,3716.29,4,nonwin3.png
8,46,1,3,3,1,1552.86,4,nonwex2_10.png
8,47,1,3,3,1,2263.47,3,nonwin4.png
8,48,2,3,1,0,5656.89,2,nonwex11.png
9,1,1,2,1,0,30358.88,2,nonwin7.png
9,2,2,1,2,0,9195.04,1,nonwex2_4.png
9,3,1,3,3,1,2989.25,4,nonwin2_7.png
9,4,1,3,1,0,1552.23,4,nonwin2_8.png
9,5,2,1,2,0,4788.53,2,nonwex2_12.png
9,6,2,4,4,1,3670.98,3,nonwex2_10.png
9,7,1,4,4,1,1111.09,4,nonwin2_4.png
9,8,1,1,4,0,1527.96,2,nonwin1.png
9,9,2,1,1,1,1358.85,1,nonwex2_1.png
9,10,2,4,1,0,1903.52,1,nonwex9.png
9,11,2,2,1,0,3725.81,1,nonwin9.png
9,12,1,3,1,0,1929.11,3,nonwin6.png
9,13,2,1,3,0,2462.95,3,nonwin2_3.png
9,14,1,4,2,0,3379.01,1,nonwin2_11.png
9,15,1,1,2,0,1464.03,1,nonwex2_5.png
9,16,1,4,4,1,2090.79,2,nonwex4.png
9,17,2,3,1,0,1969.77,1,nonwex7.png
9,18,1,1,1,1,1611.6,2,nonwex2_6.png
9,19,1,1,1,1,1681.54,3,nonwin2_1.png
