SID,Familiarity,Trial,Repetition,ImgCat,Loc,Resp,Corr,RT,ImgName
45,2,31,1,1,4,4,1,849.41,unknown_male05.jpg
45,2,32,2,1,3,3,1,1045.57,unknown_male10.jpg
45,2,33,2,1,4,4,1,1001.65,unknown_male07.jpg
45,2,34,1,1,2,2,1,1045.68,unknown_male16.jpg
45,2,35,1,1,2,2,1,1137.82,unknown_male13.jpg
45,2,36,2,2,1,1,1,845.91,unknown_female21.jpg
45,2,37,2,1,4,4,1,1073.99,unknown_male06.jpg
45,2,38,1,1,1,1,1,702.05,unknown_male19.jpg
45,2,39,1,1,4,4,1,850.04,unknown_male15.jpg
45,2,40,2,1,1,1,1,886.25,unknown_male04.jpg
45,2,41,2,2,2,2,1,962.33,unknown_female20.jpg
45,2,42,2,2,3,3,1,878.43,unknown_female01.jpg
45,2,43,2,2,3,3,1,754.48,unknown_female09.jpg
45,2,44,2,2,2,2,1,838.6,unknown_female05.jpg
45,2,45,1,2,4,4,1,1458.69,unknown_female04.jpg
45,2,46,1,1,4,4,1,990.8,unknown_male02.jpg
45,2,47,1,2,3,3,1,1050.86,unknown_female16.jpg
45,2,48,1,1,3,3,1,1398.9,unknown_male12.jpg
46,1,1,2,1,1,1,1,1332.39,famous_male17.jpg
46,1,2,1,1,4,4,1,1096.48,famous_male03.jpg
46,1,3,1,2,1,1,1,604.6,famous_female19.jpg
46,1,4,1,1,3,3,1,728.69,famous_male14.jpg
46,1,5,1,2,4,4,1,1292.72,famous_female12.jpg
46,1,6,1,1,2,2,1,800.82,famous_male08.jpg
46,1,7,1,1,4,4,1,884.95,famous_male21.jpg
46,1,8,2,1,1,1,1,705.04,famous_male05.jpg
46,1,9,2,1,4,4,1,821.12,famous_male07.jpg
46,1,10,2,1,2,2,1,1161.23,famous_male13.jpg
46,1,11,2,2,2,2,1,1085.32,famous_female20.jpg
46,1,12,1,2,1,1,1,1097.39,famous_female08.jpg
46,1,13,2,1,1,1,1,485.48,famous_male15.jpg
46,1,14,2,1,3,3,1,793.56,famous_male06.jpg
46,1,15,1,2,3,3,1,861.61,famous_female17.jpg
46,1,16,2,2,1,1,1,921.74,famous_female01.jpg
46,1,17,1,1,2,2,1,693.81,famous_male02.jpg
46,1,18,1,2,2,2,1,1113.91,famous_female09.jpg
46,1,19,1,1,3,3,1,726,famous_male04.jpg
46,1,20,2,2,4,4,1,842.11,famous_female23.jpg
46,1,21,1,2,1,1,1,494.17,famous_female22.jpg
46,1,22,2,2,1,1,1,1026.27,famous_female13.jpg
46,1,23,2,2,4,4,1,782.32,famous_female14.jpg
46,1,24,1,1,2,2,1,682.4,famous_male18.jpg
46,1,25,1,2,3,3,1,582.52,famous_female11.jpg
46,1,26,2,1,2,2,1,842.52,famous_male10.jpg
46,1,27,1,1,1,1,1,822.7,famous_male01.jpg
46,1,28,1,2,2,2,1,650.79,famous_female02.jpg
46,1,29,2,2,3,3,1,686.93,famous_female18.jpg
46,1,30,2,2,3,3,1,1466.98,famous_female16.jpg
46,1,31,1,1,3,3,1,1007.04,famous_male12.jpg
46,1,32,2,2,2,2,1,827.14,famous_female24.jpg
46,1,33,2,1,4,4,1,999.22,famous_male20.jpg
46,1,34,1,2,4,4,1,835.31,famous_female04.jpg
46,1,35,2,2,1,1,1,951.4,famous_female07.jpg
