SID,RepTime,Trial,Resp,Corr,RT,ImgName
2,6,22,1,1,880.4,nonwin2_12.png
2,6,23,1,1,644.58,nonwex10.png
2,6,24,1,1,664.87,nonwin1.png
2,7,1,1,1,641.52,nonwex2_12.png
2,7,2,1,1,725.96,nonwex2_1.png
2,7,3,1,1,586.14,nonwin4.png
2,7,4,1,1,670.42,nonwex9.png
2,7,5,1,1,594.63,nonwex10.png
2,7,6,2,1,918.86,nonwin11.png
2,7,7,2,1,755.08,nonwin2_11.png
2,7,8,1,1,607.29,nonwin2.png
2,7,9,1,1,563.57,nonwex2_8.png
2,7,10,1,1,735.81,nonwin9.png
2,7,11,2,1,604,nonwex2.png
2,7,12,2,1,576.22,nonwex2_3.png
2,7,13,1,1,492.5,nonwin6.png
2,7,14,2,1,592.71,nonwin2_7.png
2,7,15,2,1,468.94,nonwex2_11.png
2,7,16,1,1,601.14,nonwin2_12.png
2,7,17,1,1,629.34,nonwex3.png
2,7,18,1,1,625.65,nonwin1.png
2,7,19,1,1,717.86,nonwex7.png
2,7,20,1,1,434.05,nonwin2_6.png
2,7,21,1,1,398.27,nonwex5.png
2,7,22,1,1,546.51,nonwex8.png
2,7,23,1,1,558.8,nonwex2_5.png
2,7,24,2,1,714.98,nonwex2_9.png
2,8,1,1,1,637.44,nonwex2_8.png
2,8,2,1,1,761.74,nonwin2_11.png
2,8,3,2,1,581.96,nonwex8.png
2,8,4,1,1,834.15,nonwex9.png
2,8,5,1,1,870.35,nonwin2_12.png
2,8,6,2,1,602.66,nonwex2_3.png
2,8,7,1,1,622.89,nonwex2_9.png
2,8,8,1,1,803.06,nonwex5.png
2,8,9,1,1,623.27,nonwex2_1.png
2,8,10,1,1,435.56,nonwex2_5.png
2,8,11,2,1,575.81,nonwin2_7.png
2,8,12,1,1,571.99,nonwin4.png
2,8,13,1,1,592.2,nonwex7.png
2,8,14,1,1,732.47,nonwex10.png
2,8,15,1,1,552.7,nonwin2_6.png
2,8,16,1,1,484.94,nonwin6.png
2,8,17,1,1,681.12,nonwex2_12.png
2,8,18,1,1,749.43,nonwin11.png
2,8,19,1,1,505.64,nonwin2.png
2,8,20,2,1,781.89,nonwex2_11.png
2,8,21,1,1,634.05,nonwin1.png
2,8,22,2,1,710.35,nonwin9.png
2,8,23,1,1,530.57,nonwex3.png
