SID,Trial,Familiarity,Repetition,AscLoc,SrcResp,Corr,RT,Confident,ImgName
5,76,2,2,4,4,1,2051.09,3,unknown_female11.jpg
5,77,2,1,3,4,0,1421.49,3,unknown_female18.jpg
5,78,2,1,4,4,1,4114.35,3,unknown_female15.jpg
5,79,1,2,3,3,1,1230.4,4,famous_male11.jpg
5,80,2,1,2,3,0,1654.64,3,unknown_female07.jpg
6,1,2,2,1,2,0,2742.52,2,unknown_male05.jpg
6,2,2,1,1,1,1,3308.7,1,unknown_male12.jpg
6,3,1,1,2,2,1,3016.24,1,famous_male20.jpg
6,4,2,1,1,3,0,948.16,4,unknown_male19.jpg
6,5,2,2,4,3,0,1886.78,3,unknown_female13.jpg
6,6,2,2,2,3,0,1114.92,1,unknown_male09.jpg
6,7,1,2,2,2,1,914.05,4,famous_female03.jpg
6,8,1,2,2,2,1,1001.91,4,famous_female20.jpg
6,9,1,2,1,3,0,2342.77,3,famous_female18.jpg
6,10,2,1,4,3,0,785.39,4,unknown_female03.jpg
6,11,2,2,3,3,1,901.18,4,unknown_female04.jpg
6,12,1,1,3,3,1,1090.03,3,famous_female06.jpg
6,13,2,1,4,4,1,998.75,4,unknown_male10.jpg
6,14,2,2,4,4,1,1131.53,4,unknown_male11.jpg
6,15,2,1,4,1,0,1219.46,2,unknown_female09.jpg
6,16,1,2,1,2,0,1144.75,1,famous_male19.jpg
6,17,2,1,4,3,0,1325.22,1,unknown_female11.jpg
6,18,2,2,4,3,0,1246.75,3,unknown_male04.jpg
6,19,2,1,2,3,0,870.59,4,unknown_male02.jpg
6,20,2,1,3,3,1,1200.2,1,unknown_female20.jpg
6,21,1,2,1,2,0,1299.45,3,famous_male12.jpg
6,22,1,1,1,3,0,2030.68,1,famous_female04.jpg
6,23,1,1,2,2,1,1970.6,2,famous_male09.jpg
6,24,2,2,2,1,0,1362.89,1,unknown_female05.jpg
6,25,2,2,2,3,0,1393.11,1,unknown_male17.jpg
6,26,1,2,2,3,0,1446.3,3,famous_male07.jpg
6,27,2,2,1,3,0,1063,3,unknown_male03.jpg
6,28,1,1,4,4,1,1437.13,2,famous_male18.jpg
6,29,1,1,3,3,1,812.12,4,famous_male03.jpg
6,30,1,1,2,2,1,1469.86,2,famous_female12.jpg
6,31,1,2,1,3,0,879.01,3,famous_female11.jpg
6,32,2,1,2,3,0,2942.34,2,unknown_female12.jpg
6,33,1,2,2,2,1,779.77,4,famous_male11.jpg
6,34,1,1,4,2,0,1830.81,3,famous_female09.jpg
6,35,2,2,2,3,0,1516.79,2,unknown_male08.jpg
6,36,2,2,1,1,1,1318.52,4,unknown_female15.jpg
6,37,1,2,4,2,0,1212.25,2,famous_female10.jpg
6,38,1,1,2,2,1,975.63,2,famous_male01.jpg
6,39,2,2,1,2,0,1062.08,1,unknown_female01.jpg
