SID,Trial,Repetition,AscLoc,ScrResp,Corr,RT,Confident,ImgName
5,15,1,3,4,0,2299.61,2,unfamfemale10.jpg
5,16,2,3,3,1,2946.68,1,unfammale09.jpg
5,17,2,3,4,0,3370.18,3,unfamfemale26.jpg
5,18,1,1,1,1,1618.08,2,unfamfemale17.jpg
5,19,2,2,1,0,4616.66,2,unfammale16.jpg
5,20,2,4,2,0,1259.57,3,capture011 copy.jpg
5,21,1,4,2,0,3013.28,3,unfamfemale01.jpg
5,22,1,3,1,0,2414.86,2,unfammale25.jpg
5,23,1,3,2,0,3465.35,2,unfammale02.jpg
5,24,1,4,2,0,1142.3,1,unfammale14.jpg
5,25,2,1,1,1,1068.8,4,capture003 copy.jpg
5,26,2,2,2,1,2286.03,3,unfamfemale38.jpg
5,27,1,1,1,1,3295.81,1,unfammale08.jpg
5,28,1,4,4,1,1850.1,3,unfammale05.jpg
5,29,2,1,1,1,1494.23,2,unfammale33.jpg
5,30,2,1,1,1,3562.4,1,unfamfemale39.jpg
5,31,2,2,2,1,1071.34,3,capture012 copy.jpg
5,32,1,4,2,0,1032.31,4,unfammale19.jpg
5,33,2,1,4,0,2142.78,2,unfamfemale15.jpg
5,34,1,1,1,1,3576.44,1,capture021 copy.jpg
5,35,2,3,3,1,978.44,4,unfamfemale24.jpg
5,36,1,2,2,1,1440.83,2,unfamfemale40.jpg
5,37,1,1,1,1,1388.81,1,unfammale23.jpg
5,38,2,1,2,0,1352.55,1,capture017 copy.jpg
5,39,1,2,3,0,1178.04,1,unfammale21.jpg
5,40,2,4,2,0,1064.59,1,unfammale28.jpg
5,41,2,4,4,1,1081.65,3,capture002 copy.jpg
5,42,2,4,3,0,1386.77,2,unfamfemale06.jpg
5,43,1,4,3,0,1294.62,2,capture005 copy.jpg
5,44,2,4,4,1,1357.07,4,unfamfemale05.jpg
5,45,1,2,2,1,1006.33,4,unfammale38.jpg
5,46,1,1,1,1,1025.8,1,unfammale18.jpg
5,47,2,3,3,1,1027.12,3,capture016 copy.jpg
5,48,1,1,3,0,1116.2,3,unfamfemale04.jpg
6,1,2,3,3,1,3930.67,4,unfammale02.jpg
6,2,1,2,2,1,3586.62,2,unfammale28.jpg
6,3,2,3,3,1,2348.68,3,unfamfemale08.jpg
6,4,1,2,3,0,2502.33,1,capture002 copy.jpg
6,5,1,2,2,1,1597.27,4,unfamfemale05.jpg
6,6,1,1,1,1,1667.83,4,capture012 copy.jpg
6,7,2,2,2,1,1047.66,4,unfamfemale37.jpg
6,8,2,3,3,1,1278.01,4,unfammale38.jpg
6,9,1,2,4,0,2060.39,1,capture011 copy.jpg
6,10,1,4,2,0,1584.38,2,capture013 copy.jpg
6,11,2,4,4,1,846.99,4,capture021 copy.jpg
6,12,1,4,2,0,3394.58,1,unfamfemale03.jpg
6,13,2,3,3,1,890.02,4,unfamfemale01.jpg
6,14,2,2,3,0,2179.08,3,unfamfemale17.jpg
6,15,2,4,2,0,2447.37,1,unfammale08.jpg
6,16,2,2,4,0,1624.79,4,unfammale14.jpg
6,17,2,4,4,1,861.06,4,unfammale25.jpg
6,18,1,1,2,0,1403,1,unfamfemale39.jpg
6,19,2,1,1,1,2156.36,4,unfammale23.jpg
6,20,1,4,3,0,2179.11,2,capture017 copy.jpg
6,21,1,1,3,0,2135.32,2,unfammale33.jpg
6,22,2,1,3,0,1747.47,1,capture005 copy.jpg
6,23,1,3,1,0,1028.67,2,unfammale35.jpg
6,24,1,3,3,1,1056.9,1,unfamfemale38.jpg
6,25,2,4,4,1,1713.91,4,unfamfemale04.jpg
6,26,2,2,1,0,2846.23,4,capture010 copy.jpg
6,27,1,4,4,1,922.54,4,capture020 copy.jpg
6,28,2,3,3,1,864.69,4,unfammale21.jpg
6,29,2,2,2,1,2870.93,2,unfamfemale21.jpg
6,30,2,3,3,1,1715.38,2,unfamfemale10.jpg
6,31,2,2,2,1,1066,4,unfammale19.jpg
6,32,1,4,4,1,893.71,4,capture003 copy.jpg
6,33,2,4,4,1,1395.9,4,unfamfemale40.jpg
6,34,1,3,3,1,1028.92,4,unfammale12.jpg
6,35,2,1,1,1,1328.46,4,capture015 copy.jpg
6,36,1,2,2,1,2454.9,1,unfammale16.jpg
6,37,1,3,2,0,1219.12,1,unfamfemale20.jpg
6,38,1,3,3,1,857.48,4,unfamfemale15.jpg
6,39,2,4,2,0,3005.08,3,unfammale05.jpg
6,40,1,2,4,0,1412.08,4,capture001 copy.jpg
6,41,2,1,1,1,1199.75,4,unfamfemale32.jpg
6,42,2,1,2,0,2229.94,1,unfammale18.jpg
6,43,1,1,3,0,949.02,1,unfamfemale24.jpg
6,44,2,1,2,0,1573.93,1,unfammale39.jpg
6,45,1,4,4,1,1188.39,1,unfamfemale26.jpg
6,46,1,1,3,0,1285.43,4,unfammale09.jpg
6,47,1,1,2,0,2803.82,2,unfamfemale06.jpg
6,48,1,3,3,1,1978.99,4,capture016 copy.jpg
7,1,2,4,3,0,4267.25,1,unfammale35.jpg
7,2,1,1,2,0,4659.55,2,unfamfemale39.jpg
7,3,1,1,3,0,3158.86,3,capture010 copy.jpg
7,4,2,1,1,1,2079,1,unfamfemale40.jpg
7,5,1,1,1,1,3606.02,1,unfammale14.jpg
7,6,2,1,3,0,5301.88,1,unfammale09.jpg
7,7,2,3,2,0,2945.4,2,capture013 copy.jpg
7,8,2,3,3,1,10974.24,3,unfamfemale04.jpg
7,9,2,4,4,1,2131.9,4,unfamfemale01.jpg
7,10,1,2,1,0,2592.23,1,unfammale18.jpg
7,11,2,3,1,0,1863.24,1,capture015 copy.jpg
7,12,2,2,2,1,2206.03,4,capture021 copy.jpg
7,13,1,2,2,1,2317.03,2,capture001 copy.jpg
7,14,1,4,2,0,2004,2,unfamfemale05.jpg
7,15,1,1,2,0,2120.53,1,unfamfemale24.jpg
